,age,workclass,education,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,nativecountry,over50k
2446,36, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,48, United-States, <=50K
2447,76, ?, Some-college, Married-civ-spouse, ?, Husband, White, Male,0,0,8, United-States, <=50K
2448,26, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
2449,18, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
2450,38, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
2451,50, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,40, United-States, >50K
2452,19, ?, Some-college, Never-married, ?, Own-child, White, Female,0,0,25, United-States, <=50K
2453,32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
2454,57, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
2455,20, Private, HS-grad, Never-married, Protective-serv, Own-child, Black, Male,0,0,40, United-States, <=50K
2456,27, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
2457,31, Self-emp-not-inc, Bachelors, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,1980,60, United-States, <=50K
2458,60, Private, 5th-6th, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
2459,52, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,50, United-States, <=50K
2460,61, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
2461,57, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,55, United-States, >50K
2462,19, ?, Some-college, Never-married, ?, Own-child, White, Male,0,0,40, United-States, <=50K
2463,59, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,25, United-States, <=50K
2464,34, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, >50K
2465,31, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
2466,42, Private, HS-grad, Divorced, Protective-serv, Not-in-family, Black, Male,0,0,35, United-States, <=50K
2467,70, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,6, United-States, <=50K
2468,29, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
2469,27, Private, 11th, Never-married, Handlers-cleaners, Other-relative, Black, Male,0,0,40, United-States, <=50K
2470,25, Private, 12th, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
2471,51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,60, United-States, >50K
2472,35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
2473,36, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
2474,54, ?, Masters, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K
2475,46, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
2476,52, Private, Assoc-voc, Separated, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
2477,65, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
2478,43, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
2479,41, Local-gov, HS-grad, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
2480,34, Private, Bachelors, Never-married, Exec-managerial, Other-relative, White, Female,0,1741,45, United-States, <=50K
2481,47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, United-States, <=50K
2482,49, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,56, United-States, >50K
2483,21, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
2484,20, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
2485,18, Local-gov, 12th, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States, <=50K
2486,27, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
2487,34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
2488,38, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
2489,24, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
2490,34, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,65, United-States, <=50K
2491,47, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
2492,27, Federal-gov, HS-grad, Separated, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
2493,63, Private, Assoc-voc, Widowed, Adm-clerical, Unmarried, White, Female,0,0,8, United-States, <=50K
2494,34, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States, >50K
2495,25, Private, Some-college, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
2496,54, Private, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Male,914,0,40, United-States, <=50K
2497,19, ?, Some-college, Never-married, ?, Own-child, White, Female,0,0,35, United-States, <=50K
2498,35, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
2499,24, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, >50K
2500,26, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
2501,59, Local-gov, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
2502,20, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
2503,41, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
2504,51, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
2505,27, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,40, United-States, <=50K
2506,36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
2507,25, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,60, United-States, <=50K
2508,55, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
2509,22, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,21, United-States, <=50K
2510,58, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,4064,0,40, India, <=50K
2511,43, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,4064,0,15, United-States, <=50K
2512,39, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,20, United-States, >50K
2513,40, Private, 9th, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Haiti, <=50K
2514,46, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
2515,54, Federal-gov, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
2516,19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,30, United-States, <=50K
2517,24, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
2518,53, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
2519,24, State-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,13, United-States, <=50K
2520,29, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,65, United-States, <=50K
2521,56, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,50, United-States, >50K
2522,54, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, >50K
2523,21, ?, Some-college, Never-married, ?, Not-in-family, White, Female,0,0,30, United-States, <=50K
2524,56, Private, 11th, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
2525,34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,50, United-States, >50K
2526,19, Private, 10th, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
2527,32, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, >50K
2528,48, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,52, United-States, <=50K
2529,67, ?, Masters, Married-civ-spouse, ?, Husband, Black, Male,0,0,40, United-States, >50K
2530,47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,25, United-States, <=50K
2531,52, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
2532,40, Private, 1st-4th, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Female,0,0,40, Dominican-Republic, <=50K
2533,28, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
2534,41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,50, United-States, >50K
2535,57, Private, 1st-4th, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, Portugal, <=50K
2536,51, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
2537,26, ?, 11th, Never-married, ?, Not-in-family, White, Female,0,0,35, Germany, <=50K
2538,33, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
2539,46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
2540,50, Private, HS-grad, Divorced, Adm-clerical, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K
2541,77, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,401,0,20, United-States, <=50K
2542,39, Private, Masters, Never-married, Exec-managerial, Not-in-family, Black, Male,8614,0,52, United-States, >50K
2543,67, ?, HS-grad, Widowed, ?, Unmarried, White, Male,0,0,3, United-States, <=50K
2544,35, Private, Assoc-acdm, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,24, United-States, <=50K
2545,23, Private, 10th, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, United-States, <=50K
2546,37, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,8614,0,45, United-States, >50K
2547,41, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
2548,60, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,35, United-States, >50K
2549,32, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,55, United-States, <=50K
2550,56, Federal-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
2551,45, State-gov, Assoc-voc, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
2552,24, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, >50K
2553,18, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,27, United-States, <=50K
2554,31, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, United-States, <=50K
2555,21, ?, Some-college, Never-married, ?, Own-child, White, Male,0,0,50, United-States, <=50K
2556,45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,55, United-States, >50K
2557,23, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
2558,45, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
2559,18, Private, 11th, Never-married, Sales, Other-relative, Amer-Indian-Eskimo, Female,0,0,25, United-States, <=50K
2560,25, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,30, United-States, <=50K
2561,31, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
2562,19, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,45, United-States, <=50K
2563,41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
2564,74, Private, Prof-school, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,20, United-States, <=50K
2565,27, Private, 5th-6th, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Mexico, <=50K
2566,23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
2567,31, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
2568,40, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
2569,41, Federal-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
2570,25, Private, Masters, Never-married, Sales, Not-in-family, White, Male,0,0,20, United-States, <=50K
2571,42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
2572,24, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
2573,42, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
2574,45, Self-emp-not-inc, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, <=50K
2575,52, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, >50K
2576,34, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
2577,32, Private, HS-grad, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,60, United-States, <=50K
2578,54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
2579,42, Federal-gov, 11th, Never-married, Tech-support, Not-in-family, White, Male,0,1340,40, United-States, <=50K
2580,32, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, United-States, >50K
2581,40, ?, Some-college, Married-civ-spouse, ?, Wife, White, Female,0,0,20, United-States, <=50K
2582,55, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
2583,66, ?, 11th, Never-married, ?, Not-in-family, White, Male,0,0,30, United-States, <=50K
2584,52, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
2585,21, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,15, United-States, <=50K
2586,33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
2587,52, ?, Assoc-voc, Married-civ-spouse, ?, Husband, White, Male,0,0,50, United-States, >50K
2588,27, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
2589,42, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
2590,27, Self-emp-inc, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,45, United-States, <=50K
2591,47, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States, >50K
2592,19, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
2593,46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
2594,55, Self-emp-not-inc, HS-grad, Widowed, Other-service, Not-in-family, White, Female,0,0,25, Nicaragua, <=50K
2595,50, Private, 7th-8th, Married-civ-spouse, Sales, Husband, Other, Male,0,0,49, Dominican-Republic, <=50K
2596,32, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,4101,0,50, United-States, <=50K
2597,28, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
2598,23, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
2599,43, Private, Masters, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
2600,34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran, >50K
2601,19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
2602,37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,55, United-States, <=50K
2603,27, Private, Bachelors, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
2604,18, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,24, United-States, <=50K
2605,31, Private, Some-college, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
2606,49, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
2607,26, Federal-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Columbia, <=50K
2608,48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
2609,39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
2610,41, Private, HS-grad, Separated, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
2611,48, State-gov, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Female,0,0,56, United-States, >50K
2612,40, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,10520,0,40, United-States, >50K
2613,70, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K
2614,20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,43, United-States, <=50K
2615,38, Private, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,75, Mexico, <=50K
2616,37, Self-emp-not-inc, Some-college, Separated, Other-service, Own-child, White, Female,0,0,40, Cuba, <=50K
2617,49, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
2618,51, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,3103,0,40, United-States, >50K
2619,43, Private, 1st-4th, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
2620,38, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
2621,18, ?, 11th, Never-married, ?, Own-child, White, Male,0,0,36, United-States, <=50K
2622,23, Private, 7th-8th, Never-married, Other-service, Not-in-family, White, Male,0,0,25, Mexico, <=50K
2623,34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
2624,62, ?, Some-college, Married-civ-spouse, ?, Husband, White, Male,0,0,24, United-States, <=50K
2625,33, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
2626,31, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,45, United-States, <=50K
2627,64, Private, Some-college, Widowed, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
2628,26, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,28, El-Salvador, <=50K
2629,55, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
2630,61, Local-gov, Bachelors, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
2631,37, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
2632,78, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,15, United-States, <=50K
2633,27, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
2634,49, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,42, United-States, <=50K
2635,55, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,45, United-States, >50K
2636,42, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,58, United-States, <=50K
2637,22, ?, HS-grad, Never-married, ?, Other-relative, White, Female,0,0,40, United-States, <=50K
2638,61, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
2639,64, Self-emp-not-inc, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,5, United-States, <=50K
2640,46, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
2641,24, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
2642,27, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,2829,0,70, United-States, <=50K
2643,47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,7688,0,55, United-States, >50K
2644,18, Private, Some-college, Divorced, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
2645,48, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
2646,50, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
2647,40, State-gov, Masters, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
2648,56, Self-emp-not-inc, 10th, Divorced, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
2649,34, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,4865,0,40, United-States, <=50K
2650,56, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
2651,18, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
2652,21, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
2653,40, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
2654,27, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,0,0,50, United-States, <=50K
2655,52, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,45, United-States, >50K
2656,46, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,30, United-States, <=50K
2657,23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
2658,50, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
2659,19, Private, Some-college, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,50, United-States, <=50K
2660,20, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
2661,39, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,8614,0,40, United-States, >50K
2662,24, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
2663,72, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
2664,42, State-gov, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,20, United-States, >50K
2665,51, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
2666,39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
2667,40, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,2977,0,35, United-States, <=50K
2668,34, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States, >50K
2669,19, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Mexico, <=50K
2670,26, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
2671,45, Local-gov, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,4934,0,50, United-States, >50K
2672,28, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
2673,30, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
2674,32, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
2675,19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
2676,21, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
2677,54, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Other-relative, Black, Female,0,0,20, United-States, <=50K
2678,62, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, >50K
2679,25, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,2597,0,48, United-States, <=50K
2680,49, Self-emp-inc, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,32, United-States, <=50K
2681,32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
2682,37, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
2683,58, Private, HS-grad, Divorced, Sales, Other-relative, White, Female,0,0,40, United-States, <=50K
2684,37, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,7298,0,45, United-States, >50K
2685,41, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
2686,38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,40, United-States, >50K
2687,47, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
2688,42, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Male,0,0,35, United-States, <=50K
2689,30, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1902,40, United-States, <=50K
2690,43, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7688,0,40, United-States, >50K
2691,34, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
2692,57, Private, Some-college, Divorced, Exec-managerial, Other-relative, White, Female,594,0,10, United-States, <=50K
2693,46, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
2694,32, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,55, United-States, <=50K
2695,20, Private, 9th, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,11, Nicaragua, <=50K
2696,47, Private, Assoc-voc, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
2697,55, ?, HS-grad, Divorced, ?, Not-in-family, White, Male,0,0,20, United-States, <=50K
2698,53, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,4386,0,50, Greece, >50K
2699,43, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, >50K
